code,term
10724911000001106,Fentanyl 50micrograms/hour transdermal patches
10725111000001107,Fentanyl 75micrograms/hour transdermal patches
10725311000001109,Fentanyl 100micrograms/hour transdermal patches
11085311000001109,Matrifen 50micrograms/hour transdermal patches
11085711000001108,Matrifen 75micrograms/hour transdermal patches
11085911000001105,Matrifen 100micrograms/hour transdermal patches
11492611000001102,Transtec 52.5micrograms/hour transdermal patches
11492811000001103,Transtec 70micrograms/hour transdermal patches
11929811000001101,OxyContin 40mg modified-release tablets
11930011000001101,OxyContin 80mg modified-release tablets
12874911000001104,Fentalis Reservoir 50micrograms/hour transdermal patches
12875011000001104,Fentalis Reservoir 75micrograms/hour transdermal patches
12875111000001103,Fentalis Reservoir 100micrograms/hour transdermal patches
12882011000001103,Mezolar Matrix 50micrograms/hour transdermal patches
12882411000001107,Mezolar Matrix 75micrograms/hour transdermal patches
12882611000001105,Mezolar Matrix 100micrograms/hour transdermal patches
13440811000001103,Fentanyl 50micrograms/hour transdermal patches
13441011000001100,Fentanyl 75micrograms/hour transdermal patches
13441211000001105,Fentanyl 100micrograms/hour transdermal patches
13567711000001108,Osmach 50micrograms/hour transdermal patches
13567911000001105,Osmach 75micrograms/hour transdermal patches
13568111000001108,Osmach 100micrograms/hour transdermal patches
14009111000001102,Transtec 52.5micrograms/hour transdermal patches
14009711000001101,Transtec 70micrograms/hour transdermal patches
14675111000001101,Transtec 52.5micrograms/hour transdermal patches
14683811000001104,Transtec 70micrograms/hour transdermal patches
14930611000001104,Filnarine SR 200mg tablets
15024011000001104,Fentanyl 50micrograms/hour transdermal patches
15024211000001109,Fentanyl 75micrograms/hour transdermal patches
15024411000001108,Fentanyl 100micrograms/hour transdermal patches
15049811000001106,Durogesic DTrans 50micrograms/hour transdermal patches
15050011000001105,Durogesic DTrans 75micrograms/hour transdermal patches
15050211000001100,Durogesic DTrans 100micrograms/hour transdermal patches
15084611000001104,Fentanyl 100micrograms/hour transdermal patches
15085911000001109,Fentanyl 50micrograms/hour transdermal patches
15086111000001100,Fentanyl 75micrograms/hour transdermal patches
15234311000001109,Morphine 100mg modified-release tablets
15234911000001105,Morphine 60mg modified-release tablets
15302611000001107,Osmanil 50micrograms/hour transdermal patches
